rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
48000,220,ah,100,spectral,233.0844751760357,0.9999734879686946,0.019270129535284963
48000,220,ah,700,legacy,329.481801763417,0.9923973907132394,-0.7656886625907449
48000,220,ah,700,synchronous,329.63146939118275,0.9991821322538822,0.020548571657616654
48000,220,ah,700,spectral,329.6313975996216,0.9989969225020396,0.02017152025267901
48000,220,ah,1200,legacy,439.72139110166887,0.9854504035176174,-1.096568145707736
48000,220,ah,1200,synchronous,440.01842775894625,0.9999489313240109,0.0725047629325067
48000,220,ah,1200,spectral,440.0188174750061,0.9999545441888359,0.0740380837456959
48000,220,ee,-1200,legacy,30.405091735035278,0.8916922060674051,-2226.142411628975
48000,220,ee,-1200,synchronous,110.00028912578475,0.9998909310063216,0.004550397683486304
48000,220,ee,-1200,spectral,110.00021978541972,0.9999586535747904,0.0034590874726704852
48000,220,ee,-700,legacy,148.2773508031902,0.9547269177928936,16.953665012484528
48000,220,ee,-700,synchronous,146.8328964877408,0.9999920322464018,0.0060429868907764675
48000,220,ee,-700,spectral,146.83294315909797,0.9999956703358451,0.006593265688992712
48000,220,ee,-100,legacy,207.81742901959626,0.9994931332075973,1.37575604607798
48000,220,ee,-100,synchronous,207.65448640512668,0.9999837182927884,0.017821580696644333
48000,220,ee,-100,spectral,207.65450912027944,0.9999840579255821,0.018010958949048157
48000,220,ee,25,legacy,223.09655378385273,0.9998420037911533,-0.8023547062312323
48000,220,ee,25,synchronous,223.20247944734223,0.9999977936642592,0.0194356410107339
48000,220,ee,25,spectral,223.20253005722492,0.9999977793954923,0.019828188362262654
48000,220,ee,100,legacy,232.89802864019092,0.9994397934926453,-1.3661149686887368
48000,220,ee,100,synchronous,233.08437032687857,0.999997004681706,0.018491362645932638
48000,220,ee,100,spectral,233.08434714049676,0.9999968519403662,0.01831914579737418
48000,220,ee,700,legacy,328.1637906856157,0.979353482072868,-7.70495423699696
48000,220,ee,700,synchronous,329.6309194213514,0.9998010017107134,0.017660111723887862
48000,220,ee,700,spectral,329.6315234242657,0.9998462117785565,0.02083235495527214
48000,220,ee,1200,legacy,52.39808925976707,0.9924209144748865,-3683.900897998776
48000,220,ee,1200,synchronous,440.01997223042093,0.9999548859437574,0.07858141050797406
48000,220,ee,1200,spectral,440.0184646126981,0.9999850996138728,0.07264976246713244
48000,220,oo,-1200,legacy,30.51446806339335,0.8957771847576015,-2219.9258129566283
48000,220,oo,-1200,synchronous,110.0002192933449,0.999840018351751,0.003451342972497868
48000,220,oo,-1200,spectral,110.00018803520742,0.9998634487437256,0.002959387957042172
48000,220,oo,-700,legacy,147.2199432727233,0.957276642080873,4.563516128500279
48000,220,oo,-700,synchronous,146.83299321765972,0.9999884348966724,0.007183481140082887
48000,220,oo,-700,spectral,146.8330199706582,0.9999866284148795,0.007498912274577407
48000,220,oo,-100,legacy,207.68638291883585,0.9995114131949551,0.2837252505101028
48000,220,oo,-100,synchronous,207.65422255379164,0.9999750585590584,0.015621827090543555
48000,220,oo,-100,spectral,207.65423048113206,0.9999729890140318,0.01568791811995338
48000,220,oo,25,legacy,223.1815575588844,0.9998823259899123,-0.1428492199731618
48000,220,oo,25,synchronous,223.20240568068706,0.99999669668034,0.018863481747415624
48000,220,oo,25,spectral,223.2023861630404,0.9999967557219043,0.018712096210651768
48000,220,oo,100,legacy,233.0519345879662,0.9994880241937705,-0.2224418369796652
48000,220,oo,100,synchronous,233.0844773776832,0.9999953619439111,0.01928648226361832
48000,220,oo,100,spectral,233.08454335388927,0.9999959517273611,0.019776520208054833
48000,220,oo,700,legacy,329.4859481363305,0.9808450180019322,-0.7439020365561293
48000,220,oo,700,synchronous,329.6316079299056,0.9997548789320782,0.02127618090031204
48000,220,oo,700,spectral,329.63177016964175,0.999835258984934,0.022128268137607477
48000,220,oo,1200,legacy,52.382726632095896,0.9925614750990799,-3684.4085539865955
48000,220,oo,1200,synchronous,440.0183514474178,0.9999715405022059,0.07220451839805109
48000,220,oo,1200,spectral,440.0181817571475,0.9999854750454104,0.0715368789023553
48000,660,ah,-1200,legacy,334.4960610398563,0.9975390726414891,23.427837121501298
48000,660,ah,-1200,synchronous,330.00333486754323,0.9991286592032798,0.01749517293320824
48000,660,ah,-1200,spectral,330.0030671906669,0.9997688287380102,0.016090909819911105
48000,660,ah,-700,legacy,443.4807276300418,0.9993331576538571,11.68646335369476
48000,660,ah,-700,synchronous,440.51561650994427,0.999994990620341,0.07256785360421385
48000,660,ah,-700,spectral,440.5154215628185,0.9999979901105043,0.07180170783320627
48000,660,ah,-100,legacy,623.4447563537989,0.9999922272793738,1.3548442747955394
48000,660,ah,-100,synchronous,623.0096014539714,0.9999901173285755,0.14604749040127926
48000,660,ah,-100,spectral,623.0093143140849,0.9999906230585821,0.14524957900182742
48000,660,ah,25,legacy,669.427609648416,0.99966649477089,-0.44556422544802254
48000,660,ah,25,synchronous,669.6435524609566,0.9996005806570387,0.11280423702167261
48000,660,ah,25,spectral,669.6434429062772,0.9996022575776147,0.11252100453749478
48000,660,ah,100,legacy,698.7906505102984,0.9995907485266265,-1.1268624007354977
