rate,f0,vowel,cents,engine,pitch_error_cents,inharmonic_db,envelope_rmse_db,formant_fit_residual_db,rms_gain_db,rms_modulation_db,peak,dc,max_step,F1_hz,F1_error_hz,F1_error_percent,F2_hz,F2_error_hz,F2_error_percent,F3_hz,F3_error_hz,F3_error_percent
48000,90,ah,300,legacy,30.33613926916988,-24.71258702878027,7.573738041556028,1.6397788344445474,-1.8897052099192189,4.722967223336735,0.1597830057144165,-2.5166567001077863e-05,0.020408272743225098,884.9999999999999,154.9999999999999,21.23287671232874,1286.0,196.0,17.98165137614678,2889.0,449.0,18.40163934426229
48000,90,ah,300,synchronous,0.0036305511961288437,-52.877780283075175,1.7578295666189026,1.7560877099194756,-0.27091746529616345,1.2133473504895156,0.14595282077789307,-3.4379793537987604e-06,0.015895962715148926,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2437.0,-3.0,-0.12295081967212962
48000,90,ah,300,spectral,0.0034308808521633055,-51.660330044409825,2.3123446839109825,2.1448528751235476,-1.8007146224630817,1.2116872529331255,0.160003662109375,-2.064749598503113e-05,0.017181396484375,777.0,47.0,6.438356164383552,1113.0,23.0,2.110091743119269,2483.0,43.0,1.7622950819672134
48000,90,ah,-500,legacy,-65.63103461245377,-12.923388331096607,10.864379577872482,5.816926921176984,-1.9546354072712988,6.591569715662912,0.15993046760559082,-1.497127115726471e-05,0.012866854667663574,561.0,-169.0,-23.15068493150685,810.0,-280.0,-25.688073394495415,1841.0,-599.0,-24.549180327868847
48000,90,ah,-500,synchronous,0.0031163076945326597,-52.7246675814977,1.857305935535376,1.8546718145082943,-0.2397873711989544,2.90845384455787,0.1837003231048584,3.0016638338565825e-05,0.019803762435913086,728.0,-2.0,-0.2739726027397249,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-500,spectral,0.00338790971326971,-49.36070527040617,7.462265455016164,6.495157464175557,0.08512465545142414,2.8018773993389607,0.17550289630889893,3.66196119123035e-05,0.018027305603027344,726.0,-4.0,-0.5479452054794498,1047.0,-43.0,-3.94495412844037,2143.0,-297.0,-12.172131147540988
48000,90,ah,500,legacy,47.5943267401976,-7.73086706986598,11.168344029773607,1.764094800053629,-1.8561544885197836,4.761988334045218,0.15954148769378662,-1.083980831835005e-06,0.022915363311767578,994.9999999999999,264.9999999999999,36.30136986301369,1453.0,363.0,33.302752293577974,3239.0,799.0,32.745901639344254
48000,90,ah,500,synchronous,0.0008127525983439275,-53.0514967945095,1.621336576423411,1.6138867732129227,0.4193203616243566,1.422403376896343,0.14564859867095947,-4.9787449340025586e-05,0.015796184539794922,731.0,1.0,0.136986301369868,1086.0,-4.0,-0.3669724770642202,2431.0,-9.0,-0.36885245901638886
48000,90,ah,500,spectral,0.0006570175875402865,-50.13239781628545,3.9821410272644617,3.577933209113448,-2.706369567441164,1.6329214316635623,0.160003662109375,-2.125261558426751e-06,0.017181396484375,773.0,43.0,5.890410958904102,1053.0,-37.0,-3.394495412844034,2556.0,116.0,4.754098360655745
48000,90,ah,-700,legacy,-98.60610401083113,-7.925005604006766,13.420384441564337,7.724929993633958,-1.862076713532176,5.2504083376636,0.1597212553024292,-3.695061637295617e-06,0.01146697998046875,503.99999999999994,-226.00000000000006,-30.958904109589046,723.0,-367.0,-33.669724770642205,1658.0,-782.0,-32.049180327868854
